produto,preco,descricao,foto,tipo,tipoproducao
TORRADA COM OVO,"18,00","Maionese, tomate, alface, presunto, queijo, ovo, no pão de xis",fundo.jpg,lanche,xis
XIS BURGUER,"21,00","Maionese, tomate, alface, bife de carne moída, presunto, queijo, ovo",fundo.jpg,lanche,xis
XIS SALADA,"25,00","Maionese, milho, ervilha, tomate, alface, bife de carne moída, queijo, ovo",fundo.jpg,lanche,xis
XIS FRANGO,"28,00","Maionese, milho, ervilha, tomate, alface, frango desfiado, queijo, ovo",fundo.jpg,lanche,xis
XIS CALABRESA,"29,00","Maionese, milho, ervilha, tomate, alface, calabresa, queijo, ovo",fundo.jpg,lanche,xis
XIS SALADA DUPLO,"31,00","Maionese, milho, ervilha, tomate, alface, 2 bifes de carne moída, queijo, ovo",fundo.jpg,lanche,xis
XIS BACON,"32,00","Maionese, milho, ervilha, tomate, alface, bife, bacon, queijo, ovo",fundo.jpg,lanche,xis
XIS CORAÇÃO,"32,00","Maionese, milho, ervilha, tomate, alface, coração, queijo, ovo",fundo.jpg,lanche,xis
XIS FRANGO COM BACON,"36,00","Maionese, milho, ervilha, tomate, alface, frango, bacon, queijo, ovo",fundo.jpg,lanche,xis
XIS A MODA DA CASA,"32,00","Maionese, tomate, alface, contra filé picado, queijo, ovo",fundo.jpg,lanche,xis
XIS TUDO,"37,00","Maionese, milho, ervilha, tomate, alface, coração, calabresa, bacon, frango, queijo, ovo",fundo.jpg,lanche,xis
XIS ENTREVERO,"33,00","Maionese, milho, ervilha, tomate, alface, carne bovina, suina, coração, frango, calabresa, queijo, ovo",xentrevero.jpg,lanche,xis
XIS COSTELA MOÍDA,"39,00","Maionese, milho, ervilha, tomate, alface, bife de 200g de costela moída, queijo, ovo",xcostela.jpg,lanche,xis
DOG DUPLO,"18,00","Maionese, milho, ervilha, 2 salsichas, molho, batata palha.",dog2.jpg,lanche,dog
DOG FRANGO,"19,00","Maionese, milho, ervilha, frango desfiado, molho, queijo, batata palha.",fundo.jpg,lanche,dog
DOG CALABRESA,"19,00","Maionese, milho, ervilha, calabresa, molho, queijo, batata palha.",fundo.jpg,lanche,dog
DOG BACON,"26,00","Maionese, milho, ervilha, bacon, molho, queijo, batata palha.",fundo.jpg,lanche,dog
DOG CORAÇÃO,"26,00","Maionese, milho, ervilha, coraçãoo, molho, queijo, batata palha.",fundo.jpg,lanche,dog
DOG CHOCOLATE,"17,00","Leite condensado, bombom Ouro Branco ou bombom Sonho de Valsa",fundo.jpg,lanche,dog
PORÇÃO DE VIOLINHA,"45,00",Violinha (peixe) 500 gramas,violinha.jpg,lanche,porcao
VIOLINHA COM FRITAS,"73,00",Violinha (peixe) 500 gramas  e Batata Frita (500g),fundo.jpg,lanche,porcao
BATATA FRITA PEQUENA,"22,00",Batata Frita 350 gramas,fundo.jpg,lanche,porcao
BATATA FRITA MOÍDIA,"28,00",Batata Frita 550 gramas,fundo.jpg,lanche,porcao
BATATA FRITA GRANDE,"34,00",Batata Frita 700 gramas,fundo.jpg,lanche,porcao
BATATÃO COM ENTREVERO (serve 1 pessoa),"45,00",Batata Frita (500g) e Entrevero (350g). Chedar e Catupiry,fundo.jpg,lanche,porcao
BATATÃO COM ENTREVERO (serve 2 pessoas),"80,00",Batata Frita (1 Kg) e Entrevero (720 g). Chedar e Catupiry,fundo.jpg,lanche,porcao
REFRI 200 ml,"3,00",Pepsi e Guaraná,refri.jpg,bebida,bebida
COMBO 1,"64,99",3 Dog Duplo e Pepsii 2 litros,logotexto.jpg,bebida,combo
REFRI FRUKI 2000 ml,"14,00",Refregerante Fruki 2 litros,fruki2.jpeg,bebida,bebida
COMBO 2,"61,99",2 Xis Salada e 1 refri Pepsi 2 litros,logotexto.jpg,bebida,combo
REFRI FRUKI 200 ml,"3,00",Guaraná,frukipqn.jpeg,bebida,bebida
COMBO 3,"44,99",2 Dog Duplo e 1 refri Fruki 2 litros,logotexto.jpg,bebida,combo
REFRI LATA COCA 350 ml,"6,00",Refri lata Coca 350 ml,fundo.jpg,bebida,bebida
COMBO 4,"67,99",2 Xis Calabresa  e 1 refri Fruki 2 litros,logotexto.jpg,bebida,combo
REFRI LATA FRUKI 350 ml,"6,00",Refri Fruki lata 350 ml,fundo.jpg,bebida,bebida
COMBO 5,"29,99",1 Xis Salada  e 1 refri Fruki lata,logotexto.jpg,bebida,combo
REFRI 600 ml,"8,00",Refri 600 ml. Coca ou Fruki,fundo.jpg,bebida,bebida
COMBO 6,"103,99",3 Xis Moda da Casa e 1 refri Fruki 2 litros,logotexto.jpg,bebida,combo
